source,destination,mode,distance,time_of_day,weather,traffic_level,travel_time
A,D,truck,35,12,sunny,high,75.0
E,B,train,31,12,rainy,medium,32.29
A,D,air,42,6,sunny,high,6.0
D,B,truck,46,0,rainy,medium,95.83
D,B,air,11,6,sunny,high,1.57
B,E,truck,48,12,rainy,low,90.0
A,C,truck,50,12,foggy,medium,138.89
A,C,train,25,12,rainy,high,33.48
B,A,air,26,6,foggy,low,4.33
E,C,train,34,6,rainy,low,31.88
A,D,truck,26,0,sunny,low,39.0
B,C,truck,9,12,foggy,medium,25.0
A,E,truck,38,18,sunny,low,57.0
C,D,air,10,6,sunny,high,1.43
D,C,truck,20,0,foggy,medium,55.56
D,B,truck,43,0,sunny,high,92.14
C,B,truck,25,12,rainy,high,66.96
E,A,truck,31,18,rainy,medium,64.58
C,B,air,14,12,foggy,high,3.33
C,B,air,15,18,rainy,low,1.88
D,A,air,9,12,sunny,medium,1.0
A,D,truck,9,12,sunny,high,19.29
B,C,truck,27,0,foggy,low,67.5
D,B,truck,17,6,foggy,low,42.5
A,E,truck,14,6,rainy,medium,29.17
D,A,truck,18,6,rainy,low,33.75
E,B,train,21,12,sunny,high,22.5
D,B,train,43,12,rainy,low,40.31
C,A,train,24,6,foggy,low,30.0
C,E,air,8,18,sunny,high,1.14
B,D,air,25,0,rainy,high,4.46
C,A,air,5,18,sunny,high,0.71
D,C,train,20,18,sunny,low,15.0
D,E,train,8,12,rainy,medium,8.33
B,E,train,9,6,rainy,medium,9.37
E,A,air,23,0,sunny,low,2.3
A,B,train,46,18,rainy,medium,47.92
C,D,train,16,12,sunny,high,17.14
C,E,truck,12,12,foggy,medium,33.33
C,D,air,42,0,foggy,high,10.0
C,B,train,33,6,foggy,low,41.25
B,E,air,49,12,rainy,medium,6.81
D,C,air,42,0,sunny,medium,4.67
E,A,train,34,0,sunny,high,36.43
B,D,train,44,18,foggy,low,55.0
A,D,train,15,0,foggy,high,26.79
A,B,truck,17,6,rainy,high,45.54
D,C,train,29,12,sunny,low,21.75
D,C,air,7,6,rainy,low,0.88
C,D,train,28,18,rainy,low,26.25
C,D,train,27,6,sunny,medium,22.5
C,A,truck,18,18,rainy,high,48.21
E,C,air,39,18,sunny,low,3.9
A,B,air,28,18,foggy,high,6.67
A,E,truck,38,0,sunny,high,81.43
A,B,train,22,18,foggy,high,39.29
A,E,air,48,18,rainy,high,8.57
E,C,air,36,12,foggy,high,8.57
E,B,train,33,18,sunny,medium,27.5
A,D,air,24,12,foggy,low,4.0
E,B,air,33,6,rainy,high,5.89
C,A,train,22,0,sunny,high,23.57
D,C,truck,5,12,foggy,high,17.86
A,C,air,7,18,sunny,medium,0.78
A,B,air,26,18,rainy,medium,3.61
C,A,truck,32,0,foggy,medium,88.89
D,B,train,20,18,rainy,high,26.79
E,A,truck,26,6,sunny,low,39.0
B,A,air,16,6,foggy,low,2.67
E,C,truck,33,18,foggy,low,82.5
B,D,air,28,0,foggy,medium,5.19
A,C,truck,36,18,sunny,low,54.0
E,D,train,23,6,rainy,low,21.56
E,A,air,47,12,rainy,low,5.88
B,C,truck,42,0,foggy,high,150.0
C,E,train,17,12,sunny,high,18.21
B,A,train,20,12,rainy,low,18.75
D,A,train,36,6,sunny,low,27.0
B,A,train,7,18,sunny,high,7.5
E,B,truck,24,18,sunny,high,51.43
C,D,truck,20,0,rainy,high,53.57
B,A,truck,48,12,rainy,high,128.57
B,C,train,26,12,sunny,medium,21.67
E,A,train,35,18,sunny,low,26.25
A,C,truck,48,0,foggy,high,171.43
A,D,train,41,12,sunny,low,30.75
E,D,truck,25,0,sunny,medium,41.67
A,E,air,31,6,sunny,medium,3.44
D,A,train,25,0,foggy,medium,34.72
D,E,air,11,18,foggy,high,2.62
C,E,train,31,12,foggy,medium,43.06
B,E,train,28,6,sunny,low,21.0
A,C,truck,16,18,sunny,medium,26.67
E,D,air,41,0,sunny,low,4.1
E,D,train,39,18,rainy,medium,40.62
B,D,truck,36,12,foggy,medium,100.0
B,A,train,40,6,rainy,low,37.5
B,C,train,19,18,rainy,low,17.81
B,A,air,26,18,foggy,high,6.19
A,E,truck,5,6,rainy,medium,10.42
E,D,air,16,12,foggy,high,3.81
E,D,truck,34,18,rainy,high,91.07
C,A,train,26,12,foggy,high,46.43
A,B,truck,42,6,foggy,high,150.0
E,B,train,13,18,sunny,low,9.75
A,B,truck,29,6,foggy,medium,80.56
C,E,truck,49,18,foggy,medium,136.11
E,B,train,47,0,sunny,high,50.36
C,D,air,37,0,sunny,medium,4.11
A,C,air,45,0,foggy,medium,8.33
A,B,truck,8,6,rainy,low,15.0
B,E,truck,50,12,rainy,high,133.93
D,C,air,34,0,foggy,high,8.1
D,A,air,9,12,foggy,low,1.5
B,C,truck,35,12,foggy,medium,97.22
B,C,truck,15,18,rainy,low,28.12
E,D,truck,18,0,rainy,medium,37.5
E,A,air,45,18,sunny,low,4.5
A,B,train,29,6,foggy,high,51.79
C,A,train,23,0,sunny,low,17.25
D,A,air,20,18,foggy,high,4.76
C,A,truck,10,12,rainy,medium,20.83
B,E,air,20,18,rainy,high,3.57
D,E,air,11,0,foggy,high,2.62
D,B,air,38,12,rainy,low,4.75
E,B,train,27,18,rainy,medium,28.12
D,A,truck,17,0,rainy,medium,35.42
D,C,air,38,18,foggy,low,6.33
E,B,truck,7,6,rainy,high,18.75
A,E,truck,16,18,rainy,medium,33.33
A,D,train,50,12,rainy,low,46.88
D,B,air,42,18,sunny,high,6.0
D,C,air,41,12,sunny,high,5.86
A,B,train,11,12,foggy,medium,15.28
C,E,air,36,0,sunny,medium,4.0
A,C,truck,15,0,rainy,low,28.12
E,C,air,5,18,sunny,medium,0.56
D,E,air,9,0,sunny,low,0.9
D,E,train,33,0,rainy,medium,34.38
E,A,truck,44,12,foggy,medium,122.22
A,D,air,44,6,rainy,low,5.5
B,E,train,22,12,sunny,high,23.57
D,C,train,20,18,foggy,medium,27.78
C,B,truck,46,6,sunny,medium,76.67
A,C,train,20,6,sunny,low,15.0
E,A,air,24,18,rainy,medium,3.33
A,B,truck,47,18,foggy,high,167.86
D,E,train,12,18,sunny,low,9.0
C,B,train,20,6,rainy,low,18.75
E,C,air,44,18,rainy,low,5.5
E,B,truck,10,18,sunny,high,21.43
B,D,train,14,12,foggy,high,25.0
D,A,truck,23,12,rainy,low,43.12
B,C,truck,39,18,sunny,low,58.5
C,A,train,43,0,sunny,medium,35.83
D,C,train,45,18,sunny,high,48.21
D,B,truck,14,0,rainy,high,37.5
B,E,train,26,6,rainy,medium,27.08
A,E,train,11,0,foggy,medium,15.28
B,C,truck,25,0,sunny,medium,41.67
C,A,truck,37,6,sunny,high,79.29
A,C,train,28,0,sunny,low,21.0
B,A,air,34,0,sunny,medium,3.78
A,C,truck,19,18,rainy,high,50.89
E,C,truck,10,12,foggy,high,35.71
E,A,train,46,18,sunny,high,49.29
A,C,truck,49,18,sunny,low,73.5
B,E,air,31,6,rainy,medium,4.31
D,A,truck,17,0,sunny,high,36.43
A,E,air,46,0,rainy,high,8.21
D,C,train,34,0,foggy,high,60.71
A,E,truck,16,0,rainy,high,42.86
C,A,train,36,18,rainy,medium,37.5
D,B,truck,22,12,foggy,low,55.0
D,A,air,39,12,rainy,medium,5.42
C,D,truck,29,18,rainy,low,54.38
E,B,air,40,0,rainy,low,5.0
C,A,train,33,18,rainy,medium,34.38
C,B,train,13,18,foggy,high,23.21
A,B,truck,36,6,sunny,low,54.0
C,E,truck,19,12,sunny,medium,31.67
E,A,train,29,6,foggy,low,36.25
D,E,air,47,6,sunny,high,6.71
E,A,air,41,6,sunny,high,5.86
D,A,air,6,18,foggy,high,1.43
D,C,train,45,6,rainy,high,60.27
C,E,air,48,18,foggy,medium,8.89
B,D,truck,46,0,rainy,high,123.21
B,A,train,10,18,rainy,high,13.39
D,A,train,8,0,rainy,high,10.71
D,C,air,42,12,foggy,medium,7.78
A,E,air,39,18,foggy,medium,7.22
A,C,air,49,0,foggy,low,8.17
D,E,truck,43,6,foggy,high,153.57
C,E,train,9,0,rainy,high,12.05
A,D,air,8,12,sunny,medium,0.89
E,D,truck,36,12,rainy,medium,75.0
A,C,truck,30,12,foggy,medium,83.33
D,B,air,42,6,foggy,high,10.0
D,C,truck,24,6,rainy,high,64.29
E,D,air,22,6,rainy,high,3.93
A,C,truck,27,6,sunny,high,57.86
E,C,train,39,12,rainy,medium,40.62
D,A,train,34,12,sunny,medium,28.33
E,A,air,19,12,rainy,medium,2.64
B,A,truck,42,6,rainy,medium,87.5
E,A,truck,46,6,rainy,medium,95.83
D,C,air,22,18,foggy,high,5.24
B,A,truck,19,6,foggy,high,67.86
E,B,train,8,6,sunny,low,6.0
E,B,train,13,0,rainy,low,12.19
E,A,air,44,0,rainy,medium,6.11
E,A,truck,13,6,sunny,low,19.5
C,D,truck,34,0,foggy,high,121.43
D,C,train,34,0,rainy,high,45.54
E,C,train,32,12,sunny,medium,26.67
C,D,truck,16,0,foggy,low,40.0
E,D,train,16,12,sunny,medium,13.33
B,C,air,16,6,rainy,high,2.86
B,A,air,22,12,foggy,medium,4.07
C,B,air,42,18,sunny,medium,4.67
A,D,air,15,18,sunny,medium,1.67
C,E,truck,36,18,sunny,low,54.0
D,E,truck,16,0,sunny,high,34.29
C,A,truck,42,18,sunny,low,63.0
D,B,air,16,18,rainy,high,2.86
E,B,truck,26,18,rainy,high,69.64
A,E,truck,6,6,sunny,high,12.86
B,A,train,43,6,sunny,medium,35.83
E,A,train,27,18,rainy,high,36.16
C,D,train,36,18,rainy,medium,37.5
A,C,air,29,12,sunny,medium,3.22
A,D,truck,19,0,rainy,low,35.62
D,A,air,27,0,sunny,high,3.86
B,A,train,31,12,rainy,high,41.52
B,D,train,16,6,sunny,low,12.0
A,C,train,16,12,foggy,low,20.0
E,C,train,44,12,sunny,high,47.14
D,B,air,36,12,foggy,medium,6.67
A,D,truck,34,6,foggy,low,85.0
B,E,air,33,12,foggy,medium,6.11
E,C,truck,48,12,foggy,high,171.43
D,E,air,36,18,foggy,low,6.0
B,C,truck,37,0,rainy,medium,77.08
C,B,air,30,12,sunny,low,3.0
D,C,air,22,0,rainy,medium,3.06
A,B,train,25,18,rainy,low,23.44
B,A,train,49,0,foggy,high,87.5
D,C,train,8,6,sunny,low,6.0
D,B,truck,44,0,foggy,low,110.0
A,D,air,9,12,rainy,low,1.12
B,E,train,30,6,rainy,low,28.12
C,E,air,10,0,sunny,low,1.0
E,D,air,13,18,foggy,low,2.17
E,A,air,18,18,sunny,low,1.8
B,D,train,39,6,foggy,high,69.64
E,B,air,17,6,foggy,medium,3.15
A,D,truck,30,18,rainy,high,80.36
D,A,air,17,18,sunny,low,1.7
E,C,air,50,6,sunny,high,7.14
B,E,air,46,6,foggy,medium,8.52
B,D,train,46,0,foggy,medium,63.89
A,B,air,14,0,foggy,low,2.33
C,A,truck,10,12,rainy,medium,20.83
D,B,train,30,12,foggy,high,53.57
C,B,train,18,12,rainy,low,16.88
E,B,truck,16,18,rainy,medium,33.33
A,B,air,32,18,sunny,high,4.57
A,C,air,39,18,sunny,medium,4.33
B,E,train,33,12,foggy,high,58.93
D,E,truck,15,6,rainy,low,28.12
A,E,air,47,18,sunny,medium,5.22
E,C,air,37,12,foggy,medium,6.85
B,A,truck,37,18,rainy,medium,77.08
C,A,truck,8,0,foggy,low,20.0
D,C,truck,5,18,foggy,medium,13.89
E,A,truck,32,18,foggy,high,114.29
D,B,train,44,0,sunny,low,33.0
E,A,air,12,0,foggy,low,2.0
B,D,air,35,12,foggy,low,5.83
B,D,train,26,0,sunny,high,27.86
B,C,truck,40,12,foggy,high,142.86
D,A,truck,37,12,foggy,medium,102.78
D,C,truck,19,18,rainy,high,50.89
B,A,train,38,12,foggy,medium,52.78
E,B,train,38,18,rainy,medium,39.58
B,A,train,5,12,sunny,high,5.36
D,A,train,31,6,rainy,low,29.06
E,D,train,19,0,sunny,high,20.36
B,A,train,17,6,foggy,low,21.25
E,C,truck,44,12,sunny,medium,73.33
A,C,air,5,0,foggy,high,1.19
A,B,train,24,6,rainy,high,32.14
D,E,train,24,0,sunny,high,25.71
E,B,train,19,18,sunny,medium,15.83
B,E,air,7,6,sunny,low,0.7
A,B,truck,34,18,rainy,high,91.07
B,C,train,45,0,foggy,low,56.25
B,C,air,25,12,rainy,medium,3.47
E,A,air,14,6,foggy,medium,2.59
B,D,truck,28,6,foggy,medium,77.78
B,C,air,23,0,foggy,low,3.83
A,D,truck,46,12,foggy,high,164.29
B,A,train,34,18,foggy,high,60.71
A,B,air,36,12,foggy,low,6.0
C,E,train,47,18,foggy,high,83.93
D,C,train,9,18,foggy,low,11.25
E,C,truck,22,18,rainy,low,41.25
A,D,truck,36,6,foggy,low,90.0
C,B,train,44,18,rainy,low,41.25
E,B,train,39,6,sunny,low,29.25
A,B,air,29,0,rainy,medium,4.03
A,C,train,32,6,rainy,low,30.0
D,A,train,24,0,foggy,low,30.0
A,C,train,9,0,rainy,medium,9.37
B,D,train,31,6,foggy,high,55.36
B,C,air,46,12,rainy,medium,6.39
C,B,truck,47,12,foggy,low,117.5
B,A,truck,35,6,rainy,low,65.62
E,C,train,9,12,foggy,low,11.25
A,D,air,13,0,rainy,medium,1.81
C,E,train,36,0,foggy,medium,50.0
E,A,air,7,6,sunny,high,1.0
B,A,air,7,18,rainy,medium,0.97
